listing_id,date
14798944,2019-04-08
14798944,2019-04-13
14798944,2019-04-16
14798944,2019-04-22
14798944,2019-04-29
14798944,2019-05-05
14798944,2019-05-13
14798944,2019-05-20
14798944,2019-05-26
14798944,2019-05-31
14798944,2019-06-02
14798944,2019-06-06
14798944,2019-06-10
14798944,2019-06-12
14798944,2019-06-17
14798944,2019-06-24
14798944,2019-07-12
14798944,2019-07-22
14798944,2019-07-30
14798944,2019-08-12
14798944,2019-08-17
14798944,2019-09-15
14798944,2019-09-25
14798944,2019-10-06
14798944,2019-10-17
14798944,2019-10-20
14798944,2019-10-24
14798944,2019-10-27
14798944,2019-11-01
14798944,2019-11-11
14798944,2019-11-13
14798944,2019-11-16
14798944,2019-11-18
14798944,2019-11-28
14798944,2019-12-01
14798944,2019-12-04
14798944,2019-12-08
14798944,2019-12-15
14798944,2020-01-18
14798944,2020-01-27
14798944,2020-02-03
14798944,2020-02-09
14798944,2020-02-14
14798944,2020-02-16
14798944,2020-02-22
14798944,2020-02-26
14798944,2020-02-28
14798944,2020-03-06
14798944,2020-03-09
14798944,2020-06-12
14798944,2020-06-21
14798944,2020-06-28
14798944,2020-08-02
14798944,2020-09-03
14798944,2020-09-27
14798944,2020-10-31
14798944,2021-01-01
14798944,2021-01-31
14813245,2016-09-10
14813245,2016-09-24
14813245,2016-10-03
14813245,2016-10-08
14813245,2016-10-23
14813245,2016-11-07
14813245,2017-05-10
14813245,2017-08-06
14813245,2018-02-04
14813245,2018-02-11
14855524,2016-09-15
14855524,2016-10-02
14855524,2016-10-06
14855524,2016-10-09
14855524,2016-10-14
14855524,2016-10-17
14855524,2016-10-21
14855524,2016-10-25
14855524,2016-10-27
14855524,2016-10-28
14855524,2016-10-30
14855524,2016-11-01
14855524,2016-11-02
14855524,2016-11-07
14855524,2016-11-11
14855524,2016-11-18
14855524,2016-11-24
14855524,2016-11-27
14855524,2016-12-04
14855524,2016-12-07
14855524,2016-12-24
14855524,2017-01-09
14855524,2017-01-15
14855524,2017-01-23
14855524,2017-01-29
14855524,2017-02-02
14855524,2017-02-08
14855524,2017-02-17
14855524,2017-02-21
14855524,2017-03-01
14855524,2017-03-04
14855524,2017-03-12
